team1Player1,team1Player2,team1Player3,team1Player4,team1Player5,team1Player6,team1Player7,team1Player8,team1Player9,team1Player10,team1Player11,team1Player12,team1Player13,team1Player14,team1Player15,team1Player16,team1Player17,team1Player18,team1Golie1,team2Player1,team2Player2,team2Player3,team2Player4,team2Player5,team2Player6,team2Player7,team2Player8,team2Player9,team2Player10,team2Player11,team2Player12,team2Player13,team2Player14,team2Player15,team2Player16,team2Player17,team2Player18,team2Golie1,score
M. Beleskey,J. Blake,T. Bodie,N. Bonino,M. Brown,K. Chipchura,S. Koivu,T. Marchant,G. Parros,C. Perry,B. Ryan,T. Selanne,S. Brookbank,S. Eminger,B. Festerling,S. Niedermayer,L. Visnovsky,J. Wisniewski,C. McElhinney,D. Brown,A. Frolov,M. Handzus,R. Ivanans,A. Kopitar,F. Modin,S. Parse,B. Richardson,W. Simmonds,R. Smyth,J. Stoll,J. Williams,D. Doughty,M. Greene,J. Johnson,R. Jones,S. O'Donnell,R. Scuderi,J. Quick,0
D. Boyd,J.P. Dumont,M. Erat,M. Goc,P. Hornqvist,D. Legwand,J. Smithson,N. Spaling,S. Sullivan,J. Tootoo,J. Ward,C. Wilson,F. Bouillon,C. Franson,D. Hamhuis,K. Klein,R. Suter,S. Weber,P. Rinne,T. Bertuzzi,P. Datsyuk,K. Draper,P. Eaves,V. Filppula,J. Franzen,D. Helm,T. Holmstrom,D. Miller,J. Williams,H. Zetterberg,J. Ericsson,N. Kronwall,N. Lidstrom,A. Lilja,D. Meech,B. Rafalski,B. Stuart,J. Howard,0
A. Anisimov,R. Callahan,E. Christensen,C. Drury,B. Dubinsky,M. Gaborik,O. Jokinen,P.A. Parenteau,V. Prospal,B. Prust,J. Shelley,A. Voros,M. Del Zotto,A. Eriksson,D. Girardi,W. Redden,M. Rozsival,M. Staal,H. Lundqvist,M. Ellis,T. Ennis,P. Gaustad,N. Gerbe,M. Grier,J. Hecht,T. Kennedy,A. Mair,J. Pominville,D. Roy,D. Stafford,R. Torres,C. Butler,T. Lydman,S. Montador,T. Myers,A. Sekera,H. Tallinder,R. Miller,1
N. Backstrom,J. Beagle,M. Bradley,J. Chimera,E. Fehr,T. Fleischmann,M. Knuble,B. Laich,Q. Laing,A. Ovechkin,A. Semin,T. Sloan,D. Steckel,J. Corvo,J. Erskine,S. Morrisonn,T. Poti,J. Schultz,S. Varlamov,C. Adams,M. Cooke,S. Crosby,P. Dupuis,R. Fedotenko,B. Guerin,T. Kennedy,A. Ponikarovsky,M. Rupp,J. Staal,M. Talbot,M. Eaton,A. Goligoski,S. Gonchar,J. Leopold,K. Letang,J. McKee,B. Orpik,M. Fleury,0
D. Brown,R. Clune,A. Frolov,M. Handzus,R. Ivanans,A. Kopitar,F. Modin,B. Richardson,W. Simmonds,R. Smyth,J. Stoll,J. Williams,D. Doughty,M. Greene,J. Johnson,R. Jones,S. O'Donnell,R. Scuderi,J. Quick,M. Beleskey,J. Blake,T. Bodie,N. Bonino,M. Brown,K. Chipchura,S. Koivu,T. Marchant,G. Parros,C. Perry,B. Ryan,T. Selanne,S. Brookbank,S. Eminger,S. Niedermayer,L. Visnovsky,A. Ward,J. Wisniewski,C. McElhinney,0
D. Bowman,Z. Boychuk,R. Brind'Amour,E. Cole,P. Dwyer,J. Jokinen,T. Kostopoulos,C. LaRose,S. Samsonov,E. Staal,B. Sutter,R. Whitney,B. Carson,J. Harrison,J. McBain,J. Pitkanen,B. Pothier,B. Rodney,C. Ward,B. Bochenski,S. Downie,T. Fedoruk,Z. Konopka,V. Lecavalier,R. Malone,T. Purcell,M. St. Louis,S. Stamkos,A. Tanguay,N. Thompson,S. Veilleux,K. Foster,M. Lashoff,M. Lundin,A. Meszaros,M. Ohlund,M. Walker,M. Smith,0
M. Duchene,T.J. Galiardi,M. Hejduk,M. Hendricks,C. McLeod,R. O'Reilly,K. Porter,P. Stastny,C. Stewart,D. Tucker,S. Yelle,B. Yip,K. Cumiskey,A. Foote,S. Hannan,J. Liles,K. Quincey,R. Wilson,C. Anderson,S. Bernier,A. Burrows,P. Demitra,M. Grabner,J. Hansen,R. Kesler,M. Raymond,R. Rypien,M. Samuelsson,D. Sedin,H. Sedin,K. Wellwood,A. Alberts,K. Bieksa,A. Edler,S. O'Brien,A. Rome,S. Salo,R. Luongo,0
M. Cammalleri,B. Gionta,S. Gomez,A. Kostitsyn,S. Kostitsyn,M. Lapierre,T. Moen,D. Moore,T. Plekanec,B. Pouliot,T. Pyatt,M. Bergeron,H. Gill,J. Gorges,R. Hamrlik,A. Markov,R. O'Byrne,J. Spacek,J. Halak,Z. Boychuk,R. Brind'Amour,E. Cole,P. Dwyer,J. Jokinen,T. Kostopoulos,C. LaRose,S. Samsonov,E. Staal,B. Sutter,R. Whitney,C. Borer,B. Carson,T. Conboy,J. Harrison,J. McBain,B. Pothier,B. Rodney,C. Ward,1
D. Alfredsson,M. Cullen,M. Fisher,N. Foligno,C. Kelly,A. Kovalev,M. Michalek,C. Neil,P. Regin,J. Ruutu,J. Spezza,J. Winchester,C. Campoli,M. Carkner,J. Cowen,E. Karlsson,C. Phillips,A. Sutton,B. Elliott,B. Bochenski,S. Downie,T. Fedoruk,Z. Konopka,V. Lecavalier,R. Malone,T. Purcell,M. St. Louis,S. Stamkos,A. Tanguay,N. Thompson,S. Veilleux,K. Foster,V. Hedman,M. Lundin,A. Meszaros,M. Ohlund,M. Walker,M. Smith,1
D. Bowman,Z. Boychuk,E. Cole,P. Dwyer,J. Jokinen,T. Kostopoulos,C. LaRose,J. Samson,S. Samsonov,E. Staal,B. Sutter,R. Whitney,C. Borer,B. Carson,J. Harrison,J. McBain,B. Pothier,B. Rodney,C. Ward,S. Begin,P. Bergeron,D. Krejci,M. Lucic,D. Paille,M. Recchi,M. Ryder,M. Satan,V. Sobotka,M. Sturm,S. Thornton,B. Wheeler,A. Bodnarchuk,J. Boychuk,Z. Chara,M. Hunwick,A. McQuaid,D. Wideman,T. Rask,1
